backbone,approach,exact_accuracy,within_3_years,within_5_years,MAE,RMSE
mobilenet_v2,classification,0.08554069963000337,0.4316767574840229,0.6016860073999327,5.975866128489741,8.626987162436311
mobilenet_v2,regression,,0.3856163807601749,0.5775311133535149,5.810290394458021,8.317954168325631
resnet50,classification,0.10252690884628321,0.46438782374705684,0.6321476622939791,5.618167675748403,8.292252847218693
resnet50,regression,,0.41885301042717793,0.6102632021527077,5.464983516853595,8.009256312395134
efficientnet_b0,classification,0.08781113353514967,0.4458459468550286,0.6196812983518332,5.804931886982845,8.48207608424714
efficientnet_b0,regression,,0.40115203498150015,0.5923309788092835,5.683917911081073,8.235752820605788
