epoch,train_loss,train_acc,train_mae,val_loss,val_acc,val_mae
1,6.222957261793089,0.044945770584432686,9.02153162840131,5.202038686559571,0.052628743805214394,7.133776142380921
2,5.092699076031258,0.05722819450762564,6.95756235345761,4.962005867934438,0.0599008834302952,6.734194341082944
3,4.875426218919359,0.062764862211794,6.585603325596504,4.834791408327987,0.06437190260719672,6.521454772977987
4,4.736555719579967,0.06632030071587618,6.345349124801862,4.780973496608656,0.06636500754147813,6.440741320566688
5,4.627192389183876,0.07013910503507553,6.155841312732222,4.686314331717184,0.06798103856927386,6.275822566414003
6,4.530141368460175,0.07332942275001796,5.988439216205512,4.6329354287426785,0.06749622926093514,6.175151834403665
7,4.456585839363997,0.07656163957191084,5.861279935528772,4.640611202802619,0.06970480499892265,6.196359938009369
8,4.374995597245053,0.07988962578111906,5.720052057455705,4.589724331419932,0.07229045464339583,6.107278574799905
9,4.30490587296923,0.0815596044724304,5.5982285746011495,4.574935467534475,0.07336780866192631,6.08119161363769
10,4.243942155629545,0.08537242320492254,5.494578732299585,4.570616024523248,0.07627666451195864,6.07633498526164
11,4.186892797067452,0.08810185074340987,5.396684116647845,4.5589564625391334,0.07789269553975436,6.059603056140152
12,4.125874340769678,0.09015490698398257,5.291459296933395,4.515457744512084,0.07595345830639948,5.978768543086415
13,4.078301025075709,0.09198649651638853,5.210361810880981,4.518986617457992,0.07891618185735833,5.98216966410388
14,4.02875364136427,0.09380611487538008,5.126878190315158,4.531143351429317,0.076007326007326,6.009796218917278
15,3.984682601272302,0.0965355424138674,5.053471556592799,4.52152708033451,0.07746175393234217,5.986084500152319
16,3.8350167298335793,0.10587904326382072,4.7976479750104035,4.498273174353289,0.08069381598793364,5.950513161094351
17,3.7780943431416305,0.10726769937989322,4.700334049496751,4.493080498354878,0.0815018315018315,5.935610073030419
18,3.7378379287845767,0.11114037397945746,4.633445938760276,4.49152254631899,0.08230984701572937,5.930264612488437
19,3.700235283571437,0.11471376924366126,4.5720491613202245,4.498136147012281,0.08182503770739065,5.944661911333771
20,3.6666611349602367,0.11571934781047238,4.515429557569951,4.480347467634961,0.08090928679163974,5.905029352870745
21,3.6408868159887495,0.11915507458041037,4.4727840566519825,4.4883785758442825,0.08511096746390864,5.915217776052963
22,3.6036140449566485,0.11972370531759523,4.411588260154606,4.507569340584839,0.08241758241758242,5.949755808578126
23,3.581059024346912,0.12213589676060048,4.375048608414804,4.503312981968628,0.08311786252962723,5.937370183677977
24,3.494652338423197,0.12880384035243134,4.2305405272641075,4.4873331626204935,0.08699633699633699,5.904785994542259
25,3.458080678314144,0.13110230564799963,4.169315080119592,4.488153887627274,0.08570351217410041,5.904552223198991
26,3.4437985476625057,0.13163502286494122,4.146103761701149,4.487571004392052,0.08651152768799827,5.9046797656828
27,3.3997029574096,0.1377702492398305,4.072648462252651,4.490974655389734,0.08538030596854126,5.90673467810363
28,3.3772659519814883,0.13774032130629443,4.034910039499641,4.497193309567761,0.08618832148243913,5.917129745105298
29,3.36612410479932,0.1390990494888309,4.016964663372825,4.506957178459011,0.08812755871579402,5.934949972382447
30,3.3428364529912105,0.14044580649795294,3.9780524036450307,4.500743187031235,0.08748114630467571,5.918537955478306
