,exact_accuracy,within_3_years,within_5_years,MAE,RMSE
classification,0.08554069963000337,0.4316767574840229,0.6016860073999327,5.975866128489741,8.626987162436311
regression,,0.3856163807601749,0.5775311133535149,5.810290394458021,8.317954168325631
