epoch,train_loss,train_acc,train_mae,val_loss,val_acc,val_mae
1,6.143349405307374,0.046280556420140305,8.882771489652574,5.01372676685796,0.056884292178409825,6.789527434826
2,5.008317475870673,0.05763521440371585,6.800598235133393,4.840470389697193,0.0634561516914458,6.521475906183021
3,4.798449790443217,0.06327363708190677,6.443079122845235,4.924957854253058,0.0663111398405516,6.730029566846411
4,4.656145747028095,0.06673929178538081,6.197952623417771,4.699730779713173,0.0669575522516699,6.29518922437139
5,4.535134925194279,0.07033662939641344,5.99022037934363,4.639431161167447,0.07018961430726137,6.199180955338186
6,4.443896679977902,0.07332942275001796,5.831727392151126,4.558724804906798,0.0695970695970696,6.050364926158804
7,4.351695315251675,0.0760109655948476,5.673744231982647,4.579926421842141,0.07342167636285284,6.100999694167476
8,4.269255505815574,0.07956041851222256,5.531228342799952,4.4654765105458125,0.07428355957767722,5.891083466033179
9,4.18794031643464,0.08218809107668734,5.388829248364274,4.488614260495364,0.07331394096099979,5.9229662424016425
10,4.1148384980486155,0.08611463595661646,5.262147519342271,4.505768310301932,0.07724628312863607,5.957623669464664
11,4.060107854509364,0.08653362702612111,5.170517679255989,4.449095859581015,0.07934712346477052,5.853618848275018
12,3.9904677201102845,0.0902446907845907,5.050703994502917,4.455371909089141,0.0773001508295626,5.871935343952996
13,3.931234692831951,0.09286637776234827,4.949781009360709,4.424515070110733,0.07697694462400345,5.813325674516891
14,3.867979222689783,0.09497330428328585,4.844100029230443,4.433724055899497,0.07999353587588881,5.815887199036907
15,3.8243195487423876,0.09703234611056576,4.770002110248113,4.436882606022215,0.08204050851109675,5.830256767145546
16,3.774290404206853,0.10029449086599468,4.6865875675596795,4.433015050520236,0.08107088989441931,5.824134928377197
17,3.6254909120457812,0.10780041659683483,4.435490939593581,4.409536028596714,0.0850032320620556,5.776126639130454
18,3.560099358035432,0.11319941580673738,4.325256134302817,4.417735713382549,0.0845722904546434,5.787579901591891
19,3.5164904848440752,0.1157253333971796,4.254906987608482,4.441532547939854,0.08317173023055376,5.819130536272361
20,3.4869604951207913,0.1169882921924007,4.205653516100076,4.420354424455869,0.08516483516483517,5.78260026422972
21,3.398416119178728,0.12302176359326741,4.057744649461976,4.402841757967718,0.08645765998707175,5.7479452002898705
22,3.3741262526423896,0.12483539636555176,4.019887370854537,4.417470772547394,0.09012066365007541,5.767658125760868
23,3.3393169072577003,0.12640960566954773,3.9588124940589835,4.423368157356162,0.08764274940745528,5.7702495651598555
24,3.324154791554661,0.1271817463547777,3.937189573313126,4.421141322176407,0.08775048480930833,5.7720685626792125
25,3.2778143432423654,0.1315512246510403,3.8593312448277866,4.440433327942618,0.08796595561301444,5.798921994828016
26,3.261566404957595,0.1338077908396581,3.832234887448641,4.429668210852997,0.0865653953889248,5.7798536742871445
27,3.2526822663947272,0.13471760001915387,3.8204704940620173,4.41771856707454,0.08764274940745528,5.755506187850765
28,3.226023693579284,0.1355855100916992,3.7733342786777935,4.42295939746126,0.08705020469726352,5.770148621682231
29,3.2203151426736123,0.1375727248784926,3.7664755227267963,4.430242678595627,0.08845076492135316,5.769868242460652
30,3.2135424125607543,0.13680656977996983,3.7552297491560003,4.436338314232295,0.08866623572505926,5.784951846832295
31,3.2020778860191763,0.13768645102592955,3.7364645509571206,4.431958447394508,0.08785822021116138,5.774464137182747
