,exact_accuracy,within_3_years,within_5_years,MAE,RMSE
classification,0.08781113353514967,0.4458459468550286,0.6196812983518332,5.804931886982845,8.48207608424714
regression,,0.40115203498150015,0.5923309788092835,5.683917911081073,8.235752820605788
