,exact_accuracy,within_3_years,within_5_years,MAE,RMSE
classification,0.10252690884628321,0.46438782374705684,0.6321476622939791,5.618167675748403,8.292252847218693
regression,,0.41885301042717793,0.6102632021527077,5.464983516853595,8.009256312395134
