epoch,train_loss,train_acc,train_mae,val_loss,val_acc,val_mae
1,5.492574535273699,0.05248162424880887,7.684955118613929,5.03385068131685,0.06523378582202112,6.889599293271315
2,4.7080776001017846,0.06575166997869131,6.282518636225045,4.667992680577774,0.07132083602671838,6.215085087549941
3,4.502652534084643,0.07406564991500467,5.936260449346031,4.5473845261382895,0.07471450118508942,6.02430202518653
4,4.346781445613588,0.08152369095218713,5.673065958313738,4.439817368740204,0.07460676578323637,5.8300022288813365
5,4.217469069340495,0.08946656451265353,5.4567257522706125,4.446511943030527,0.07789269553975436,5.8568268498324345
6,4.104778765107964,0.09611056575765557,5.268746329663366,4.464618785194836,0.0821482439129498,5.890227971573221
7,3.997693760553113,0.10173701726243206,5.092186374752443,4.392225567777206,0.079293255763844,5.759674619482756
8,3.901849634661583,0.10914717360595685,4.93397390060686,4.397095556121478,0.08758888170652876,5.785744540163782
9,3.8101702238666455,0.11588095865156703,4.785099085619358,4.3690531045243395,0.08769661710838181,5.716606121950945
10,3.7245951540941,0.12237532022888883,4.646536041967778,4.334696582308413,0.08872010342598578,5.655878729718534
11,3.652409254892393,0.12925874494217923,4.53339952770316,4.327278258651013,0.09049773755656108,5.639291515280475
12,3.575236187046961,0.13714774822228074,4.411834933575288,4.370166176276278,0.09152122387416504,5.705089268461432
13,3.503149722007035,0.14412095673617928,4.297830989420347,4.38673659034701,0.09243697478991597,5.738187335786366
14,3.4312029292917003,0.1502861110446046,4.185892958744601,4.354184383514806,0.0907670760611937,5.656972852253601
15,3.188664418073771,0.17840639739507266,3.8022964487677005,4.31221264668822,0.10014005602240897,5.575484303867116
16,3.0731751491298116,0.19044939784997725,3.6237326786476824,4.364462365160931,0.1015406162464986,5.641941464581743
17,2.996972931693757,0.19851796873129504,3.5076638052158535,4.366627720095325,0.09884723120017237,5.624471522230342
18,2.93301291682903,0.20686187660114444,3.4132116282448894,4.365895706424166,0.09970911441499677,5.62898912534609
19,2.782860367984321,0.22984652955682716,3.1855901014466053,4.361086513327772,0.10321051497522085,5.58420764041137
20,2.711202284396244,0.23945339622189768,3.0795366417974357,4.36716539020863,0.10541909071320836,5.577832064272077
21,2.665778507331123,0.24618718126750785,3.0137760297434735,4.3817451822683235,0.10493428140486964,5.590869125480463
22,2.5749628032618386,0.26209088514856227,2.8780334570473682,4.39615016506551,0.10347985347985347,5.589711580829254
23,2.536544262499504,0.2658737759475184,2.82255903049434,4.390947289108279,0.10294117647058823,5.580874935611264
24,2.5057798581369153,0.2712009481169344,2.7781346160109055,4.4084118871025115,0.10708898944193061,5.582892434963299
25,2.4616551514196123,0.2786709603275313,2.7138467063924816,4.407481617466228,0.1048265460030166,5.5774508339401665
